Intended size:,64,64,,,,,
Level 2D array:,8,8,,,,,
WATER-edge-top,WATER-corner-upper-right,GRASS-1,ROAD-inner,GRASS-1,ROAD-inner,GRASS-1,GRASS-2
WATER-inner,WATER-edge-right,GRASS-2,ROAD-inner,GRASS-2,ROAD-inner,GRASS-2,GRASS-1
WATER-inner,WATER-corner-lower-right,GRASS-1,ROAD-inner,GRASS-1,ROAD-inner,GRASS-1,GRASS-2
WATER-corner-lower-right,GRASS-1,GRASS-2,ROAD-inner,ROAD-inner,ROAD-inner,FLOWER-white,FLOWER-white
GRASS-1,GRASS-2,GRASS-1,DIRT-1,ROAD-inner,GRASS-2,FLOWER-white,FLOWER-blue
DIRT-1,DIRT-2,DIRT-1,DIRT-2,ROAD-inner,GRASS-1,DIRT-1,FLOWER-red
DIRT-1,DIRT-1,FLOWER-blue,DIRT-1,ROAD-inner,GRASS-2,GRASS-1,GRASS-2
DIRT-2,WATER-corner-upper-left,WATER-corner-upper-right,DIRT-2,ROAD-inner,ROAD-inner,ROAD-inner,ROAD-inner
